12:31:23.83 25:46:01.20 22.541±0.221 21.818±0.210 21.522±0.235 — —
12:31:23.78 25:46:01.89 22.443±0.204 21.644±0.180 21.518±0.239 — —
12:31:24.62 25:46:02.93 22.393±0.212 21.940±0.251 21.289±0.186 — —
12:31:23.58 25:46:03.61 22.237±0.184 21.884±0.257 21.341±0.224 — —
12:31:24.04 25:46:03.83 22.595±0.219 21.921±0.212 21.500±0.279 — —
12:31:24.12 25:46:04.54 22.337±0.219 21.570±0.189 21.236±0.214 — —
12:31:23.11 25:46:04.51 22.460±0.220 22.010±0.285 21.414±0.215 — —
12:31:24.36 25:46:04.51 22.488±0.210 21.855±0.282 21.328±0.258 — —
12:31:24.99 25:46:05.31 22.986±0.459 21.856±0.265 21.546±0.290 — —
12:31:24.21 25:46:04.76 22.274±0.207 21.521±0.189 21.233±0.215 — —
12:31:24.31 25:46:05.60 22.044±0.173 21.456±0.193 20.992±0.183 — —
12:31:23.93 25:46:05.16 22.150±0.183 21.518±0.186 21.113±0.174 — —
12:31:23.49 25:46:05.60 22.130±0.185 21.566±0.201 21.005±0.172 — —
12:31:24.03 25:46:05.99 22.010±0.174 21.463±0.189 21.006±0.180 — —
12:31:24.64 25:46:05.84 21.181±0.071 20.574±0.076 20.306±0.085 — —
12:31:24.18 25:46:06.02 21.958±0.170 21.389±0.185 20.855±0.163 — —
12:31:23.40 25:46:07.21 22.138±0.221 21.397±0.187 21.071±0.216 — —
12:31:23.10 25:46:09.30 21.863±0.182 21.262±0.182 20.801±0.179 — —
12:31:22.73 25:46:09.30 22.404±0.224 21.773±0.242 21.204±0.204 — —
12:31:22.88 25:46:09.80 22.098±0.197 21.479±0.190 21.135±0.205 — —
12:31:24.82 25:46:09.77 21.762±0.175 21.113±0.154 20.765±0.177 — —
12:31:23.21 25:46:10.24 21.298±0.104 20.646±0.097 20.218±0.094 — —
12:31:22.46 25:46:10.74 22.369±0.163 21.585±0.145 21.367±0.178 — —
12:31:22.78 25:46:10.31 22.204±0.201 21.639±0.223 21.166±0.213 — —
12:31:23.37 25:46:10.49 21.538±0.173 20.640±0.097 20.228±0.087 — —
12:31:24.81 25:46:11.14 21.525±0.171 20.825±0.160 20.473±0.165 — —
12:31:24.23 25:46:11.06 21.297±0.154 20.646±0.145 20.213±0.120 — —
12:31:25.53 25:46:10.88 23.141±0.343 22.153±0.316 21.730±0.226 — —
12:31:23.11 25:46:11.14 21.642±0.170 21.111±0.192 20.662±0.186 — —
12:31:25.04 25:46:11.53 21.762±0.179 21.063±0.170 20.703±0.183 — —
12:31:23.08 25:46:11.75 21.668±0.198 20.988±0.197 20.644±0.183 — —
12:31:24.76 25:46:12.00 21.397±0.175 20.718±0.164 20.375±0.168 — —
12:31:23.44 25:46:12.72 21.298±0.104 20.640±0.097 20.228±0.087 — —
12:31:25.65 25:46:12.90 22.564±0.169 21.919±0.162 21.533±0.166 — —
12:31:24.89 25:46:12.79 21.127±0.120 20.506±0.121 20.124±0.126 — —
12:31:25.02 25:46:13.22 21.560±0.187 20.885±0.176 20.554±0.186 — —
12:31:24.56 25:46:13.80 20.994±0.155 20.320±0.141 19.916±0.140 — —
12:31:23.08 25:46:14.49 21.364±0.169 20.708±0.149 20.370±0.181 — —
12:31:22.41 25:46:14.59 22.242±0.192 21.734±0.224 21.263±0.210 — —
12:31:24.77 25:46:15.96 20.855±0.131 20.175±0.138 19.751±0.123 — —
12:31:25.98 25:46:16.68 22.615±0.218 21.949±0.196 21.619±0.207 — —
12:31:24.64 25:46:16.39 21.111±0.110 20.507±0.124 20.110±0.117 — —
12:31:25.00 25:46:16.72 21.297±0.183 20.529±0.163 20.122±0.172 — —
12:31:24.89 25:46:17.54 20.878±0.135 20.232±0.169 19.873±0.161 — —
12:31:22.66 25:46:19.09 21.824±0.204 21.225±0.210 20.779±0.209 — —
12:31:23.00 25:46:19.99 21.474±0.147 20.904±0.156 20.543±0.161 — —
12:31:24.89 25:46:20.06 20.810±0.157 20.125±0.148 19.705±0.144 — —
12:31:25.68 25:46:23.24 22.060±0.194 21.412±0.206 21.014±0.188 — —
12:31:25.67 25:46:23.38 22.060±0.194 21.412±0.206 21.014±0.188 — —
12:31:25.32 25:46:23.34 21.416±0.187 20.709±0.171 20.308±0.174 — —
12:31:22.35 25:46:25.50 22.171±0.228 21.246±0.160 21.062±0.205 — —
12:31:22.99 25:46:26.00 20.778±0.188 20.075±0.169 19.742±0.178 — —
